	class	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YAL040c	1	-0.21050	-0.36441	-0.92235	-0.92663	0.19352	-1.01855	0.41157	0.23628	-0.09293	3.45564	0.36026	-0.17202	-0.72568	-0.20622	0.16573	0.12084	-0.30456	
YAL062w	2	2.29574	1.93209	1.56843	0.23017	0.56474	-0.26440	-0.27895	-0.55533	-0.49714	-0.55533	-0.58442	-0.52623	-0.55533	-0.26440	-0.94807	-0.64260	-0.91898	
YAL067c	2	0.03307	-0.32469	-0.40135	1.79631	2.79293	1.31078	-0.06915	-0.37580	-0.50357	-0.29914	-0.65689	-0.60579	-0.24803	-0.78467	-0.45246	-0.81022	-0.40135	
YAR007c	1	-0.80204	-0.22714	2.63205	0.36810	-0.56292	-0.84274	-0.75116	-0.98010	-0.76642	0.86159	1.24315	1.04983	0.56651	0.19003	-0.57818	-0.84274	-0.55783	
YBL023c	1	-1.38479	-0.03287	0.70618	-0.82600	-1.25861	-0.68179	0.11133	1.82377	2.22033	0.61605	0.43580	-0.23115	-0.42943	-1.16848	-0.42943	0.05726	0.47185	
YBL027w	4	-0.35284	-0.66014	0.06172	-0.65343	0.40812	-0.74003	-0.27798	-0.42659	-0.67187	3.55814	0.16676	0.29806	-0.72997	-0.08634	0.16229	-0.37352	0.31761	
YBL035c	1	-0.65777	0.75872	2.79727	0.09170	-0.28303	-0.54535	-0.64278	-0.89010	-0.74770	0.95358	1.32832	0.50390	-0.05070	-0.14813	-0.67275	-0.88260	-0.91258	
YBL038w	4	-0.10446	-1.48774	-1.23457	-1.30795	1.00730	-0.87866	-0.16317	-0.62549	-0.77225	1.82185	1.16140	1.13939	-0.33562	0.57433	0.13770	-0.07511	1.14306	
YBL072c	4	-0.91235	-0.57600	0.32109	-0.71311	0.07718	-1.00529	-0.17495	-0.64224	-1.04380	3.11044	0.57836	-0.02758	-0.85843	0.28566	0.58195	0.43355	0.56552	
YBL087c	4	-0.84150	-0.24638	0.54900	-0.31689	-0.49176	-0.81894	0.21900	-0.47484	-0.82176	3.37514	0.58003	-0.09971	-0.85843	-0.26330	0.54900	-0.26612	0.22746	
YBL087c	4	-0.84150	-0.24638	0.54900	-0.31689	-0.49176	-0.81894	0.21900	-0.47484	-0.82176	3.37514	0.58003	-0.09971	-0.85843	-0.26330	0.54900	-0.26612	0.22746	
YBL090w	4	0.37167	-1.28969	-1.04768	-1.51861	-0.53096	-1.02805	-0.09927	-0.28241	-0.18430	1.56863	0.84915	1.24813	-0.10581	0.03809	0.92109	-0.70756	1.79756	
YBL092w	4	-0.52389	-0.52805	-0.16822	-0.68540	0.22903	-1.10937	-0.16584	-0.61415	-0.96923	3.23953	0.32166	0.00458	-0.84810	0.22190	0.75928	0.29850	0.53780	
YBR031w	4	-1.11372	-0.64384	0.13900	-0.62388	-0.09594	-1.04388	0.02924	-0.69010	-1.01394	2.81046	0.44379	-0.12315	-0.74271	0.27053	1.23933	1.02072	0.13809	
YBR048w	4	-0.04146	-1.49288	0.21663	0.20275	0.32486	-0.96837	-0.33841	-0.55487	-0.75469	2.97793	0.74946	0.56075	-0.15802	-0.42721	0.21385	-1.12656	0.61625	
YBR048w	4	-0.04146	-1.49288	0.21663	0.20275	0.32486	-0.96837	-0.33841	-0.55487	-0.75469	2.97793	0.74946	0.56075	-0.15802	-0.42721	0.21385	-1.12656	0.61625	
YBR060c	1	-0.19687	-2.83221	-0.03875	-0.01240	1.46338	-0.27593	0.56737	0.88361	0.75184	-0.22323	-0.27593	0.75184	0.75184	-0.72394	0.11937	-1.35642	0.64643	
YBR084c	4	-0.64203	-0.84699	-0.28163	-0.38526	0.45529	-1.03237	-0.18721	-0.41059	-0.77214	3.41105	0.40348	0.36894	-0.51652	-0.14806	0.53820	-0.14461	0.19046	
YBR087w	1	-1.05737	-0.89740	2.43666	1.20743	0.82014	-0.64482	0.57598	0.28972	-0.13124	0.02031	0.48337	0.79489	0.12134	-1.07421	-0.58589	-1.17524	-1.18366	
YBR088c	1	-0.75935	-0.10443	1.94497	0.91322	0.16157	-0.71301	-0.90444	-1.11402	-1.15432	1.14294	1.52985	1.24370	0.16761	-0.31602	-0.40469	-0.97497	-0.65860	
YBR109c	3	-0.05390	-1.02195	-0.19170	-0.38118	0.90036	-1.42157	0.11146	-0.23993	-0.94616	2.92602	0.51108	0.37328	-0.77046	-0.63266	0.86935	-0.37773	0.34572	
YBR122c	4	0.35489	-1.22569	-1.32207	-1.16144	-0.03061	-1.00081	-0.08201	-0.45467	-0.15912	1.86480	0.52837	0.84320	-0.12057	0.07219	1.00383	-0.99438	1.88408	
YBR160w	1	-1.24210	0.44080	2.70674	0.13602	-0.44041	-0.17538	1.15636	-0.21514	-0.86444	0.69919	0.97747	0.09627	-0.56629	-0.78493	-0.51329	-0.02962	-1.38124	
YBR181c	4	-0.39020	-0.84680	-0.07097	-0.54085	0.53960	-0.94834	-0.27206	-0.53686	-0.87799	3.31703	0.31395	0.09561	-0.73729	-0.04774	0.46195	-0.22627	0.76723	
YBR189w	4	-0.77489	-0.48462	0.00250	-0.59388	-0.23105	-0.81909	-0.27025	-0.45709	-0.74486	3.44403	0.28109	-0.06423	-0.72901	0.13513	0.56636	0.08508	0.65477	
YBR191w	4	-0.90945	-0.47108	-0.00916	-0.60875	0.08141	-0.87322	0.03703	-0.58520	-0.84152	3.21973	0.28520	-0.08615	-0.72468	0.00170	1.02245	0.79059	-0.32888	
YBR195c	1	1.44342	-0.98893	1.22880	-0.20199	0.34648	-1.15586	0.20340	0.15570	0.10801	1.25265	0.15570	0.87110	0.10801	-1.46587	-0.53585	-2.15742	0.63264	
YBR202w	1	-1.18187	-0.09527	-0.73766	-1.10670	-1.17503	-0.97002	0.01407	1.39452	1.30568	1.66105	0.56078	-0.47114	-0.68299	-0.75816	0.05507	1.33985	0.84781	
YBR213w	2	-0.09215	0.58667	-0.37934	0.24726	1.63102	-0.61432	-1.63255	-0.77097	-1.44979	2.54482	0.45613	-0.53599	0.01229	0.09061	-0.11826	-0.14436	0.16894	
YBR268w	4	-1.12162	0.68489	0.17564	-1.47542	-1.34676	-0.50515	-0.00662	-0.71958	-0.75710	2.05720	0.49191	0.14883	-0.89112	0.12203	0.64201	1.07621	1.42465	
YCR028c	1	1.03139	0.36632	-0.72197	0.18494	-0.29875	0.66863	-0.41967	2.42199	1.15231	-1.02428	-0.48013	-0.41967	1.03139	-0.72197	-0.84290	-1.56843	-0.35921	
YCR028c	2	1.03139	0.36632	-0.72197	0.18494	-0.29875	0.66863	-0.41967	2.42199	1.15231	-1.02428	-0.48013	-0.41967	1.03139	-0.72197	-0.84290	-1.56843	-0.35921	
YCR031c	4	-1.04365	-0.39185	-0.08622	-0.40062	-0.09170	-1.13677	0.07043	-0.70406	-1.07323	2.36871	0.49985	-0.39623	-0.88591	0.29610	1.79469	1.23381	-0.05336	
YDL061c	4	-0.93349	-0.99092	0.39387	-0.00976	-0.49316	-0.97337	-0.06081	-0.66227	-1.10738	2.78535	0.35558	0.01736	-0.79309	0.14978	1.46278	0.22157	0.63797	
YDL061c	4	-0.93349	-0.99092	0.39387	-0.00976	-0.49316	-0.97337	-0.06081	-0.66227	-1.10738	2.78535	0.35558	0.01736	-0.79309	0.14978	1.46278	0.22157	0.63797	
YDL075w	4	-0.66365	0.33942	3.54728	-0.01811	-0.08763	-0.17701	-0.67359	0.16066	-0.36571	0.73668	-0.33592	-0.21674	-0.63386	-0.33592	-0.72324	-0.67359	0.12093	
YDL075w	4	-0.66365	0.33942	3.54728	-0.01811	-0.08763	-0.17701	-0.67359	0.16066	-0.36571	0.73668	-0.33592	-0.21674	-0.63386	-0.33592	-0.72324	-0.67359	0.12093	
YDL081c	4	-0.54923	-0.81587	-0.37973	-0.39213	0.18147	-0.92439	-0.43244	-0.57816	-0.89132	3.20866	0.45949	0.15770	-0.95126	0.47189	0.75301	0.15047	0.53184	
YDL082w	4	-0.78372	-0.82277	0.33858	-0.23700	0.46931	-1.10123	-0.35755	-0.56130	-1.11651	3.06028	0.55251	0.16709	-1.07746	0.25878	0.38951	0.40649	0.41498	
YDL083c	4	-0.74604	-0.64763	-0.18709	-0.26384	0.24098	-0.95761	-0.42917	-0.51872	-0.95564	3.28764	0.39351	0.02547	-0.91923	0.21244	0.47027	0.43484	0.55982	
YDL102w	1	-1.12320	1.33278	2.88939	0.86580	-0.86376	0.17397	0.00102	-0.58703	-0.22383	0.03561	0.24316	0.13938	0.29504	-0.81188	-0.77729	-0.79458	-0.79458	
YDL130w	4	-0.80022	-0.96319	-0.20233	-0.53301	0.45431	-1.10911	-0.23170	-0.79264	-0.95845	2.83166	0.40694	0.17100	-0.94234	0.45242	1.02662	0.56423	0.62581	
YDL136w	4	-0.73593	-0.28700	-0.28224	-0.42616	0.25056	-1.11718	-0.55769	-0.53005	-0.99232	3.02703	0.57749	-0.09638	-1.06285	0.28201	0.81100	0.24961	0.89011	
YDL164c	1	-0.84522	-0.13440	2.20624	0.59673	-0.58628	-0.71321	-0.84522	-1.06862	-0.81984	1.24155	1.81528	0.77444	0.07377	0.18039	-0.57105	-0.72844	-0.57612	
YDL191w	4	-0.96061	-0.40532	0.09246	-0.63349	-0.13571	-0.88764	-0.25011	-0.71141	-1.00884	2.99691	0.36640	-0.32988	-0.87033	0.27055	0.72196	0.94766	0.79740	
YDL202w	4	-0.37886	1.51756	-1.84591	-1.79821	-0.97523	-0.06876	-0.47428	0.25328	-0.17610	0.43219	1.42215	0.18171	-0.68897	0.79000	-0.05683	0.40833	1.45793	
YDL208w	4	-0.96612	-0.72453	0.23286	-0.32828	0.53836	-1.26779	-0.08030	-0.83191	-1.16680	2.58482	0.37858	0.05519	-1.20771	0.61634	0.96913	0.82213	0.37603	
YDL210w	2	3.08647	-0.16388	-1.09255	0.30045	0.30045	-0.23022	-1.68956	-0.03122	0.03512	0.96379	-0.36288	0.30045	-0.42922	-0.69455	-0.49555	0.30045	-0.09755	
YDL215c	2	0.55030	2.48662	-0.89612	-0.47619	-1.05942	1.08687	0.08371	0.22369	0.13037	-1.52601	-1.05942	-0.91945	-0.68615	0.34033	0.64361	0.20036	0.87690	
YDR012w	4	-0.63677	-0.55231	0.17599	-0.54521	0.28804	-1.21916	-0.45197	-0.64680	-1.19282	2.84379	0.25333	-0.12294	-1.03060	0.52384	0.65637	0.96910	0.68814	
YDR025w	4	-0.96635	-0.63320	0.34904	-0.35863	0.97284	-0.72051	-0.10704	-0.21388	-1.23862	2.85000	0.49723	-0.11738	-1.40290	-0.28511	0.14799	0.33870	0.88783	
